Iteracja: 0 | x: 0.3 | f = 0.0280243
Iteracja: 1 | x: 0.346066 | f = 0.0121477
Iteracja: 2 | x: 0.370512 | f = 0.00627375
Iteracja: 3 | x: 0.384693 | f = 0.0036006
Iteracja: 4 | x: 0.393435 | f = 0.00220895
Iteracja: 5 | x: 0.399049 | f = 0.00141549
Iteracja: 6 | x: 0.402756 | f = 0.000933886
Iteracja: 7 | x: 0.405253 | f = 0.000628233
Iteracja: 8 | x: 0.406955 | f = 0.000428438
Iteracja: 9 | x: 0.408127 | f = 0.000294924
Iteracja: 10 | x: 0.40894 | f = 0.000204444
Iteracja: 11 | x: 0.409505 | f = 0.000142217
Iteracja: 12 | x: 0.4099 | f = 9.93013e-05
Iteracja: 13 | x: 0.410176 | f = 6.93798e-05
Iteracja: 14 | x: 0.41037 | f = 4.87566e-05
Iteracja: 15 | x: 0.410506 | f = 3.42131e-05
Iteracja: 16 | x: 0.410601 | f = 2.39611e-05
Iteracja: 17 | x: 0.410668 | f = 1.68085e-05
Iteracja: 18 | x: 0.410715 | f = 1.18017e-05
Iteracja: 19 | x: 0.410748 | f = 8.34465e-06
Iteracja: 20 | x: 0.410771 | f = 5.84126e-06
Iteracja: 21 | x: 0.410788 | f = 4.17233e-06
Iteracja: 22 | x: 0.410799 | f = 2.86102e-06
Iteracja: 23 | x: 0.410807 | f = 2.02656e-06
Iteracja: 24 | x: 0.410813 | f = 1.43051e-06
Iteracja: 25 | x: 0.410817 | f = 1.07288e-06
Iteracja: 26 | x: 0.41082 | f = 7.15256e-07
f(0.41082) = 7.15256e-07
