Iteracja: 0 | x1: 1 | x2: 1
Iteracja: 1 | x1: 0.999188 | x2: 0.999323
Iteracja: 2 | x1: 0.998375 | x2: 0.998645
Iteracja: 3 | x1: 0.997562 | x2: 0.997967
Iteracja: 4 | x1: 0.996747 | x2: 0.997289
Iteracja: 5 | x1: 0.995932 | x2: 0.99661
Iteracja: 6 | x1: 0.995116 | x2: 0.995932
Iteracja: 7 | x1: 0.9943 | x2: 0.995253
Iteracja: 8 | x1: 0.993483 | x2: 0.994573
Iteracja: 9 | x1: 0.992664 | x2: 0.993894
Iteracja: 10 | x1: 0.991846 | x2: 0.993214
Iteracja: 11 | x1: 0.991026 | x2: 0.992534
Iteracja: 12 | x1: 0.990206 | x2: 0.991854
Iteracja: 13 | x1: 0.989385 | x2: 0.991173
Iteracja: 14 | x1: 0.988563 | x2: 0.990492
Iteracja: 15 | x1: 0.98774 | x2: 0.989811
Iteracja: 16 | x1: 0.986917 | x2: 0.98913
Iteracja: 17 | x1: 0.986093 | x2: 0.988448
Iteracja: 18 | x1: 0.985268 | x2: 0.987767
Iteracja: 19 | x1: 0.984442 | x2: 0.987085
Iteracja: 20 | x1: 0.983616 | x2: 0.986402
Iteracja: 21 | x1: 0.982789 | x2: 0.98572
Iteracja: 22 | x1: 0.981962 | x2: 0.985037
Iteracja: 23 | x1: 0.981133 | x2: 0.984354
Iteracja: 24 | x1: 0.980304 | x2: 0.983671
Iteracja: 25 | x1: 0.979474 | x2: 0.982988
Iteracja: 26 | x1: 0.978643 | x2: 0.982305
Iteracja: 27 | x1: 0.977812 | x2: 0.981621
Iteracja: 28 | x1: 0.97698 | x2: 0.980937
Iteracja: 29 | x1: 0.976148 | x2: 0.980253
Iteracja: 30 | x1: 0.975314 | x2: 0.979569
Iteracja: 31 | x1: 0.97448 | x2: 0.978885
Iteracja: 32 | x1: 0.973645 | x2: 0.9782
Iteracja: 33 | x1: 0.97281 | x2: 0.977515
Iteracja: 34 | x1: 0.971974 | x2: 0.976831
Iteracja: 35 | x1: 0.971137 | x2: 0.976146
Iteracja: 36 | x1: 0.970299 | x2: 0.97546
Iteracja: 37 | x1: 0.969461 | x2: 0.974775
Iteracja: 38 | x1: 0.968622 | x2: 0.97409
Iteracja: 39 | x1: 0.967782 | x2: 0.973404
Iteracja: 40 | x1: 0.966942 | x2: 0.972718
Iteracja: 41 | x1: 0.966101 | x2: 0.972032
Iteracja: 42 | x1: 0.965259 | x2: 0.971346
